____VehicleSample__
hhID,vehIDinHH,hhWt,nTrips
1035198,3,303.74908,1
___Trip_
gID,dayID,idInDay,secsFromLastTrip,numRecSteps,miles,year,month,day,hr24,min,sec,numPayloadAdjust
0,0,0,30625,9366,130.21385,2012,5,25,5,46,23,1
tStepID,payloadKg
0,0.0
speedMPH,fltGrade,recAuxKW
0.0,0.027958803,0.0
0.0,0.02795869,0.0
0.0,0.027958468,0.0
0.0,0.027957942,0.0
0.0,0.027957898,0.0
0.0,0.027960373,0.0
0.0,0.027966553,0.0
0.0,0.02797014,0.0
0.0,0.027950834,0.0
0.0,0.027888475,0.0
0.0,0.027826464,0.0
2.2,0.027959453,0.0
6.9,0.028557181,0.0
12.8,0.029695805,0.0
16.1,0.031194558,0.0
18.6,0.03279908,0.0
20.3,0.034273397,0.0
19.2,0.03544791,0.0
18.1,0.03625567,0.0
16.7,0.03665196,0.0
18.3,0.036531426,0.0
22.0,0.0357349,0.0
23.7,0.034104403,0.0
26.9,0.031552695,0.0
31.5,0.028122023,0.0
35.0,0.02394416,0.0
35.6,0.019124037,0.0
37.8,0.013736936,0.0
39.3,0.007975391,0.0
40.3,0.0022325083,0.0
41.5,-0.0030240864,0.0
42.2,-0.0074668145,0.0
44.6,-0.0110048745,0.0
46.4,-0.0136745125,0.0
46.5,-0.015478481,0.0
44.9,-0.016418062,0.0
45.0,-0.016620345,0.0
46.7,-0.016303644,0.0
47.9,-0.015670083,0.0
48.7,-0.014926064,0.0
50.6,-0.01433811,0.0
50.9,-0.014185926,0.0
50.9,-0.014670862,0.0
51.5,-0.015857417,0.0
52.0,-0.01764399,0.0
52.9,-0.019776547,0.0
53.8,-0.021963382,0.0
54.8,-0.024057023,0.0
55.9,-0.02614249,0.0
56.6,-0.028416539,0.0
57.5,-0.030894741,0.0
58.1,-0.033138152,0.0
58.4,-0.034248076,0.0
58.6,-0.033214938,0.0
59.0,-0.029478077,0.0
59.3,-0.023403063,0.0
58.9,-0.016277261,0.0
